PC,cell_type_compound,cell_type,compound,cell_id,compound_cell_id,all_cells - chanel_3 Gabor Max 2 px w2 - Mean per Well,all_cells - chanel_2 Area,all_cells - chanel_3 SER Ridge 1 px - Mean per Well,all_cells - chanel_3_intensity Mean - Mean per Well,spotschan3_intensitymean_div_chan2area,chan3_intensitymean_div_chan2area,all_cells - chanel_1 Area,ir_chanel_3_at - Intensity ir_chanel_3_at chanel_3 Mean - Mean per Well,spots_chanel_3_final - Region Intensity - Mean per Well,spots_chanel_3_final - Spot to Region Intensity - Mean per Well,spots_chanel_3_final - Corrected Spot Intensity - Mean per Well
24s,E_UT,E,UT,654.0,UT_654.0,-0.5480594957005676,2.4658315891941878,-0.9678321339911112,1.3628893883316977,-56.64650420222959,-7.727130766850664,0.6232326841280753,4.706181353872388,0.6802601876717339,0.2483212829056041,0.7682931744727759
24s,E_T,E,T,654.0,T_654.0,-0.5435719935966291,2.462468406217696,-0.9664386612717965,1.0771488457702278,-60.189133542282846,-7.935258950533314,0.6232233542661744,4.642127772437469,0.6796181318210263,0.2474608844813363,0.7666110419349701
24s,E_UT,E,UT,654.0,UT_654.0,-0.5486083047712857,2.461764163953183,-0.971741637736436,0.9923766385301795,-57.6761389473928,-8.007750205688659,0.6232250653674001,4.689143780895053,0.6797598766515056,0.2454242623276945,0.7669903810881114
24s,E_T,E,T,654.0,T_654.0,-0.5487876903597392,2.463268831598543,-0.9737221719392042,0.8057150002907064,-59.5010654662453,-8.263529618829901,0.6232253323663413,4.605048149967166,0.679733412875471,0.2534055227950634,0.7670020720006883
24s,E_UT,E,UT,654.0,UT_654.0,-0.5539074115392234,2.4630455065622665,-0.9808692587545949,0.400617567112872,-57.46793179109491,-8.72141773122231,0.6232137587972377,4.513506064844665,0.6798599922407265,0.2889806202710969,0.7673933888777109
24s,E_T,E,T,654.0,T_654.0,-0.5518347914475676,2.4595598075197285,-0.9774378119371664,0.8196453620509412,-51.68867867115026,-8.134450021254452,0.6232130318182929,4.552076102927698,0.6800062438411194,0.2839162825246943,0.7677975134941807
24s,E_UT,E,UT,654.0,UT_654.0,-0.5524169556016137,2.460027483798708,-0.9798061118257052,0.4177960010284112,-54.87451600107182,-8.608264408222691,0.6232226545331923,4.44363829358536,0.679750622371033,0.3175594256151594,0.7671676989820455
24s,E_T,E,T,654.0,T_654.0,-0.549867947649686,2.4515631213266325,-0.976159149144966,0.587261795047778,-46.54280224758108,-8.167310646208023,0.6232121658141335,4.493639258913619,0.6797468545853701,0.2839735625643188,0.7671080490502361
24s,E_UT,E,UT,654.0,UT_654.0,-0.5535368330105024,2.461012861625992,-0.9801361283561096,0.6156826288837133,-53.0446146831645,-8.410036146422721,0.6232253127786472,4.518013529003283,0.6800248017798105,0.2691846961481622,0.7678506646439203
24s,E_T,E,T,654.0,T_654.0,-0.5535575964398078,2.462361421175992,-0.9816150332654554,0.1805618586796844,-59.4013007044213,-8.958630887556334,0.6232275157541038,4.394947782931575,0.6796128067735744,0.2688971288061232,0.7667622581350373
24s,HC_UT,HC,UT,8429.0,UT_8429.0,-0.5458375309370639,2.425887868347236,-0.9644872670496256,2.050380279362132,-19.89504191714748,-5.967818617567323,0.6231171928516417,5.028465201003522,0.6812502702253175,0.2450478435987528,0.7709575818849721
24s,HC_UT,HC,UT,8429.0,UT_8429.0,-0.5523468859045101,2.4221500929393973,-0.9765696148793844,0.9490196756657288,-26.798945807414203,-7.047186490440695,0.6231259934765975,4.772989744574183,0.6800085897962939,0.2829778344403381,0.7676930658548491
24s,L_T,L,T,640.0,T_640.0,-0.5487386670237665,2.448004763414604,-0.972250962640162,1.0211428599109476,-44.84139295407303,-7.5838343339036625,0.6231849047678527,4.610472182586085,0.6796543390564025,0.2801574708996349,0.7667026296993364
24s,L_UT,L,UT,640.0,UT_640.0,-0.5501871358944164,2.443253102908466,-0.9724461951675368,1.2284466588599638,-36.195990160447806,-7.233912189766862,0.6231869097614466,4.867541657230854,0.680239654377658,0.275655844964001,0.7682820458125523
24s,L_T,L,T,640.0,T_640.0,-0.5522581734635346,2.445899386590211,-0.9757123348382266,1.041185193251714,-39.20102119013671,-7.5063130054390035,0.6231900793541697,4.710552514158709,0.6800677439340507,0.304863898274886,0.767919032925435
24s,L_UT,L,UT,640.0,UT_640.0,-0.5536984058219451,2.444457767324967,-0.9801086314079976,0.6751807713838351,-38.02933840018671,-7.876791556758455,0.6231844784295205,4.614205452827389,0.6800718030230948,0.2866618431027238,0.7679659948611894
24s,L_T,L,T,640.0,T_640.0,-0.5531722219303953,2.4429808896794305,-0.9780872804602372,0.8962291080100202,-34.22266845702244,-7.5912674109909775,0.6231727226480587,4.695365605315748,0.6804071570558141,0.2638390998861743,0.768831659641364
24s,L_UT,L,UT,640.0,UT_640.0,-0.5551783480257025,2.439427805248384,-0.9816544361033062,0.6026906434574955,-33.21215746153852,-7.83119202658536,0.6231690087882684,4.666023730248414,0.6802545846809873,0.2945799112506182,0.7684817621568195
24s,L_T,L,T,640.0,T_640.0,-0.5546928201779502,2.4440699389415057,-0.9811572560188314,0.6240817134407103,-36.600071013989904,-7.924589013044269,0.6231612270943683,4.577853386896843,0.6801904751770468,0.2939276427688304,0.7683228961055185
24s,L_UT,L,UT,640.0,UT_640.0,-0.5568831202090051,2.4475771570203104,-0.9859304782989912,0.2006008728033768,-41.53945098254688,-8.505870201277538,0.6231946981853959,4.399544629659427,0.6798811306898517,0.3496275303720616,0.7675948539884174
24s,L_T,L,T,640.0,T_640.0,-0.5550201754136228,2.4458032764143622,-0.9821701933079132,0.393799538067919,-41.12328374591613,-8.233504158226399,0.6231833952118728,4.486104589574087,0.6798215598065395,0.3002107300250454,0.7673100466984264
24s,E_T,E,T,657.0,T_657.0,-0.5537224687358903,2.449544710410964,-0.9694763825233876,2.1922339492819,-29.18584942828591,-6.387164016024617,0.6231868770144854,4.966722126455559,0.6813335417321357,0.236755529971504,0.7711720400742317
24s,E_UT,E,UT,657.0,UT_657.0,-0.5539223886864052,2.44315936307257,-0.9673763367789814,2.3217126720310888,-24.42323829943987,-6.09359855826607,0.6231783229013822,5.12825901760168,0.6814762451628145,0.2088317841408661,0.7715407821691052
24s,E_T,E,T,657.0,T_657.0,-0.5521068004804629,2.441520733093837,-0.9702188047451472,1.817902346051336,-29.323946124204326,-6.566124380488647,0.6231746437721964,4.926205172413253,0.6809003382353491,0.258108525651223,0.7700269329035678
